user_id,restaurant_id,rating,timestamp,interaction_type
user_0267,rest_0088,4,2024-11-09 21:56:02.650612,like
user_0312,rest_0101,4,2024-11-17 08:12:02.650612,review
user_0422,rest_0271,3,2025-03-08 23:47:02.650612,review
user_0065,rest_0121,4,2025-08-19 15:37:02.650612,bookmark
user_0068,rest_0953,5,2025-07-22 18:55:02.650612,bookmark
user_0323,rest_0065,4,2025-01-02 15:44:02.650612,bookmark
user_0490,rest_0538,5,2025-06-21 18:39:02.650612,bookmark
user_0363,rest_0100,5,2025-03-16 13:29:02.650612,review
user_0054,rest_0205,5,2024-11-29 21:41:02.650612,view
user_0402,rest_0965,2,2025-02-10 17:15:02.650612,like
user_0429,rest_0777,5,2025-02-15 02:47:02.650612,view
user_0198,rest_0812,3,2025-09-02 06:34:02.650612,view
user_0038,rest_0102,3,2024-12-14 19:31:02.650612,view
user_0305,rest_0914,5,2025-08-03 15:52:02.650612,bookmark
user_0281,rest_0825,5,2025-09-14 06:32:02.650612,like
user_0489,rest_0604,4,2024-10-21 12:09:02.650612,review
user_0278,rest_0193,5,2024-11-03 07:13:02.650612,like
user_0332,rest_0540,4,2025-08-25 07:27:02.650612,like
user_0490,rest_0242,5,2025-02-28 08:57:02.650612,view
user_0197,rest_0761,3,2025-02-07 20:57:02.650612,bookmark
user_0481,rest_0408,4,2025-09-03 00:00:02.650612,review
user_0367,rest_0116,4,2024-10-30 22:02:02.650612,like
user_0161,rest_0298,3,2025-08-26 23:33:02.650612,view
user_0299,rest_0206,2,2024-10-24 07:58:02.650612,view
user_0112,rest_0606,4,2025-04-05 13:17:02.650612,like
user_0021,rest_0294,3,2025-07-19 08:33:02.650612,view
user_0094,rest_0472,4,2025-01-24 02:06:02.650612,like
user_0436,rest_0084,4,2025-06-25 10:40:02.650612,view
user_0487,rest_0226,4,2024-11-21 17:40:02.650612,like
user_0402,rest_0998,4,2025-08-11 09:16:02.650612,bookmark
user_0282,rest_0791,4,2025-08-13 15:04:02.650612,bookmark
user_0456,rest_0746,3,2025-01-29 19:55:02.650612,view
user_0372,rest_0428,3,2024-09-26 12:39:02.650612,view
user_0282,rest_0895,2,2025-06-20 11:40:02.650612,like
user_0261,rest_0251,5,2025-03-22 11:59:02.650612,like
user_0023,rest_0443,3,2025-08-15 06:05:02.650612,bookmark
user_0296,rest_0873,4,2024-12-15 08:40:02.650612,review
user_0225,rest_0365,3,2024-10-26 12:40:02.650612,bookmark
user_0108,rest_0390,4,2024-12-06 07:37:02.650612,view
user_0415,rest_0055,5,2024-11-14 11:42:02.650612,review
user_0210,rest_0448,4,2024-10-09 00:35:02.650612,like
user_0075,rest_0437,5,2025-01-27 01:32:02.650612,review
user_0326,rest_0282,3,2025-08-21 05:04:02.650612,like
